date	professional
03-Dec-05	0
14-Sep-06	0
17-Apr-07	0
17-Apr-07	0
22-Apr-07	0
07-Jun-07	0
07-Jun-07	0
07-Jun-07	1
10-Jun-07	0
13-Nov-07	0
30-Nov-07	1
05-Dec-07	0
10-Dec-07	1
23-Dec-07	0
09-Jan-08	0
13-Feb-08	1
10-Mar-08	0
12-Mar-08	0
12-Mar-08	0
12-Mar-08	0
15-Mar-08	0
28-Mar-08	0
01-Jul-08	0
25-Jul-08	0
30-Jul-08	0
05-Aug-08	0
06-Sep-08	2
17-Oct-08	0
26-Mar-09	1
25-May-09	0
25-May-09	0
21-Jun-09	1
26-Aug-09	0
13-Sep-09	0
13-Sep-09	0
13-Sep-09	0
13-Sep-09	0
13-Sep-09	0
13-Sep-09	2
13-Sep-09	2
24-Sep-09	1
24-Sep-09	0
24-Sep-09	0
20-Dec-09	0
05-Jan-10	1
27-Feb-10	0
11-Mar-10	0
29-Mar-10	0
19-Apr-10	1
03-May-10	0
31-May-10	0
31-May-10	0
08-Jul-10	0
25-Aug-10	0
25-Aug-10	0
12-Dec-10	2
12-Dec-10	3
12-Dec-10	4
10-Feb-11	1
11-Apr-11	0
13-Sep-11	0
10-Dec-11	1
25-Dec-11	1
25-Dec-11	1
12-Mar-12	0
04-Apr-12	0
25-Apr-12	0
10-Jun-12	1
17-Sep-12	0
17-Sep-12	0
28-Jan-13	0
